rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
140000,12000,24000,2000,4608,3,1399755,1399755,0,243,0.00017360180888798397,0.006955758888519776,0.006315,0.009426,0.009834,2.253031,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_2000_run3.csv
140000,12000,24000,4000,8000,1,1365702,1365702,0,34296,0.02511235979737893,0.02271371516406947,0.009259,0.009889,0.014018,245.459104,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_4000_run1.csv
140000,12000,24000,4000,8000,2,1399131,1399131,0,864,0.0006175261644549367,0.007300887777484739,0.006333,0.00663,0.009716599999999161,7.135037,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_4000_run2.csv
140000,12000,24000,4000,8000,3,1399578,1399578,0,420,0.0003000904558374024,0.007981445094164099,0.007797,0.008018,0.008277,3.510824,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_4000_run3.csv
140000,12000,24000,8000,16000,1,1398033,1398033,0,1965,0.0014055462210119504,0.008034609530676315,0.007723,0.008037,0.008222,14.55574,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_8000_run1.csv
140000,12000,24000,8000,16000,2,1399998,1399998,0,0,0.0,0.0071556885802694,0.006352,0.009555000000000001,0.010075,0.338092,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_8000_run2.csv
140000,12000,24000,8000,16000,3,1399842,1399842,0,156,0.00011144114835817185,0.006427297552152314,0.006278,0.006519,0.009019,1.625996,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_12000_sndbuf_8000_run3.csv
140000,16000,32000,10000,20000,1,1399758,1399758,0,240,0.00017145820920473395,0.007437134776868573,0.006352,0.00963,0.014332999999999999,2.01794,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_10000_run1.csv
140000,16000,32000,10000,20000,2,1383402,1383402,0,16596,0.011996512944176746,0.016363040463292667,0.006315,0.009574,0.016629,115.214016,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_10000_run2.csv
140000,16000,32000,10000,20000,3,1399230,1399230,0,768,0.0005488733088913188,0.011086065206577903,0.006462,0.009796,0.015093000000000002,30.261797,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_10000_run3.csv
