rate_hz,rx_pin,tx_pin,trial,rx_core,tx_core,rx_effective_core,tx_effective_core,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,first_edge_count,first_edge_mean_latency_ms,first_edge_max_latency_ms,last_edge_count,last_edge_mean_latency_ms,last_edge_max_latency_ms,middle_mean_latency_ms,first_edge_minus_middle_mean_ms,last_edge_minus_middle_mean_ms,tx_status,rx_status,copy_status,run_validity,source_csv
50000,on,on,2,0,1,0,1,500001,500001,0,0,0.0,0.00885529880540239,0.008611,0.009,0.009278,4.091617,3,0.049926,0.049926,3,0.046537,0.046537,0.008854826286262862,0.041071173713737134,0.03768217371373714,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_50000_rxpin_on_txpin_on_run2.csv
50000,on,on,3,0,1,0,1,500001,500001,0,0,0.0,0.007930258755482488,0.008629,0.009037,0.009333,0.758612,3,0.04772200000000001,0.047722,3,0.033167,0.033167,0.007929868580685806,0.0397921314193142,0.025237131419314197,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_50000_rxpin_on_txpin_on_run3.csv
5000,off,off,1,0,1,default,default,50004,50004,0,0,0.0,0.013878878509719224,0.014537,0.015278,0.01616546000000002,0.207501,3,0.062407,0.062407,3,0.20750100000000002,0.207501,0.013864348913956558,0.04854265108604344,0.19363665108604347,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_5000_rxpin_off_txpin_off_run1.csv
5000,off,off,2,0,1,default,default,50004,50004,0,0,0.0,0.014789921646268299,0.014722,0.015351,0.015962460000000022,0.216259,3,0.061704,0.061704,3,0.216259,0.216259,0.01477501806072243,0.046928981939277574,0.20148398193927758,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_5000_rxpin_off_txpin_off_run2.csv
5000,off,off,3,0,1,default,default,50004,50004,0,0,0.0,0.01713370458363331,0.014371,0.015389,0.020055430000000023,8.403257,3,0.064519,0.064519,3,1.49428,1.49428,0.017042229029161166,0.04747677097083884,1.4772377709708389,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_5000_rxpin_off_txpin_off_run3.csv
5000,off,on,1,0,1,default,1,50004,50004,0,0,0.0,0.013765033477321815,0.014445,0.015166,0.015704,0.1045,3,0.058,0.058,3,0.1045,0.1045,0.013756934957398296,0.044243065042601705,0.0907430650426017,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_5000_rxpin_off_txpin_on_run1.csv
5000,off,on,2,0,1,default,1,50004,50004,0,0,0.0,0.01384071094312455,0.014519,0.015241,0.015833,0.088333,3,0.058611,0.058611,3,0.088333,0.088333,0.013833554902196088,0.04477744509780392,0.0744994450978039,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_5000_rxpin_off_txpin_on_run2.csv
5000,off,on,3,0,1,default,1,50004,50004,0,0,0.0,0.014678124010079193,0.014629,0.015315,0.015982,0.197186,3,0.059073999999999995,0.059074,3,0.197186,0.197186,0.014664509240369616,0.04440949075963038,0.1825214907596304,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_5000_rxpin_off_txpin_on_run3.csv
5000,on,off,1,0,1,0,default,50004,50004,0,0,0.0,0.011252983801295897,0.01037,0.014944,0.015408,0.098982,3,0.060795999999999996,0.060796,3,0.092796,0.092796,0.011245118324732989,0.04955088167526701,0.08155088167526701,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_5000_rxpin_on_txpin_off_run1.csv
5000,on,off,2,0,1,0,default,50004,50004,0,0,0.0,0.010261670926325893,0.010277,0.010685999999999998,0.011148,0.062815,3,0.062815,0.062815,3,0.02687,0.02687,0.010257521060842434,0.05255747893915756,0.016612478939157568,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_5000_rxpin_on_txpin_off_run2.csv
5000,on,off,3,0,1,0,default,50004,50004,0,0,0.0,0.01028590766738661,0.010296,0.010704,0.01113,0.059241,3,0.05924100000000001,0.059241,3,0.024611000000000004,0.024611,0.010282110704428178,0.04895888929557183,0.014328889295571827,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_5000_rxpin_on_txpin_off_run3.csv
5000,on,on,1,0,1,0,1,50004,50004,0,0,0.0,0.01027466216702664,0.010278,0.010704,0.01113,0.064611,3,0.064611,0.064611,3,0.025315,0.025315,0.010270499399975997,0.054340500600024,0.015044500600024003,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_5000_rxpin_on_txpin_on_run1.csv
5000,on,on,2,0,1,0,1,50004,50004,0,0,0.0,0.01029980621550276,0.010297,0.010759,0.011241,0.082945,3,0.082945,0.082945,3,0.038185,0.038185,0.01029377415096604,0.07265122584903397,0.027891225849033956,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_5000_rxpin_on_txpin_on_run2.csv
5000,on,on,3,0,1,0,1,50004,50004,0,0,0.0,0.010336041396688266,0.010351,0.010796,0.01116697,0.0905,3,0.09049999999999998,0.0905,3,0.027685,0.027685,0.010330190387615505,0.08016980961238448,0.017354809612384496,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_5000_rxpin_on_txpin_on_run3.csv
