rate_hz,rcvbuf_requested,rcvbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,last_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
18000,8388608,425984,1,180003,180003,0,0,0.00000000,0.013729,0.013296,0.013907,0.015130,2.269735,0.086815,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_8388608_run1.csv
18000,8388608,425984,2,180003,180003,0,0,0.00000000,0.009698,0.009278,0.013296,0.014315,0.410961,0.042333,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_8388608_run2.csv
18000,8388608,425984,3,180003,180003,0,0,0.00000000,0.012040,0.012963,0.013611,0.014185,0.088537,0.085055,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_8388608_run3.csv
18000,16777216,425984,1,180003,180003,0,0,0.00000000,0.008139,0.009093,0.009759,0.010259,0.238778,0.043555,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_16777216_run1.csv
18000,16777216,425984,2,180003,180003,0,0,0.00000000,0.013107,0.013037,0.013685,0.014593,0.151629,0.088092,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_16777216_run2.csv
18000,16777216,425984,3,180003,180003,0,0,0.00000000,0.012748,0.013185,0.013852,0.014519,5.432484,5.432484,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_18000_rcvbuf_16777216_run3.csv
20000,65536,131072,1,200004,200004,0,0,0.00000000,0.010647,0.009481,0.013740,0.015741,0.139573,0.050593,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_65536_run1.csv
20000,65536,131072,2,200004,200004,0,0,0.00000000,0.012920,0.012870,0.013537,0.014481,2.093549,0.050093,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_65536_run2.csv
20000,65536,131072,3,200004,200004,0,0,0.00000000,0.012321,0.012852,0.013463,0.014055,0.258296,0.089056,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_65536_run3.csv
20000,262144,425984,1,200004,200004,0,0,0.00000000,0.011792,0.012352,0.015129,0.017704,0.229870,0.045388,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_262144_run1.csv
20000,262144,425984,2,200004,200004,0,0,0.00000000,0.011300,0.009130,0.015148,0.016833,4.296599,3.631749,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_262144_run2.csv
20000,262144,425984,3,200004,200004,0,0,0.00000000,0.013117,0.013037,0.013630,0.014463,0.953683,0.086148,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_262144_run3.csv
20000,1048576,425984,1,200004,200004,0,0,0.00000000,0.013342,0.013222,0.013833,0.015000,0.490387,0.090296,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_1048576_run1.csv
20000,1048576,425984,2,200004,200004,0,0,0.00000000,0.012942,0.013185,0.013871,0.014907,0.255869,0.191259,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_1048576_run2.csv
20000,1048576,425984,3,200004,200004,0,0,0.00000000,0.011326,0.011297,0.012315,0.018056,1.598403,0.055074,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_1048576_run3.csv
20000,4194304,425984,1,200004,200004,0,0,0.00000000,0.011703,0.010056,0.013722,0.016907,3.295083,0.221258,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_4194304_run1.csv
20000,4194304,425984,2,200004,200004,0,0,0.00000000,0.013333,0.013167,0.014203,0.016000,0.275870,0.090001,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_4194304_run2.csv
20000,4194304,425984,3,200004,200004,0,0,0.00000000,0.010313,0.009630,0.013278,0.015019,0.884507,0.041852,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_4194304_run3.csv
20000,8388608,425984,1,200004,200004,0,0,0.00000000,0.011396,0.011111,0.012204,0.013686,1.656291,0.057519,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_8388608_run1.csv
20000,8388608,425984,2,200004,200004,0,0,0.00000000,0.013280,0.013148,0.013723,0.014629,0.194687,0.090056,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_8388608_run2.csv
20000,8388608,425984,3,200004,200004,0,0,0.00000000,0.010525,0.009334,0.009852,0.013167,4.064567,2.408332,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_8388608_run3.csv
20000,16777216,425984,1,200004,200004,0,0,0.00000000,0.013249,0.013166,0.013759,0.014963,0.189446,0.189446,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_16777216_run1.csv
20000,16777216,425984,2,200004,200004,0,0,0.00000000,0.009553,0.009389,0.009889,0.010241,0.834635,0.041408,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_16777216_run2.csv
20000,16777216,425984,3,200004,200004,0,0,0.00000000,0.033699,0.011685,0.012704,0.019685,20.369134,0.055223,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131\socket_buffer_matrix\rate_20000_rcvbuf_16777216_run3.csv
