mode,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us,queue_latency_us,deadline_miss_count
freertos,pico,303,10000,3020949,10000,0,7,0
freertos,pico,304,10000,3030949,10000,0,7,0
freertos,pico,305,10000,3040949,10000,0,7,0
freertos,pico,306,10000,3050949,10000,0,7,0
freertos,pico,307,10000,3060949,10000,0,7,0
freertos,pico,308,10000,3070949,10000,0,7,0
freertos,pico,309,10000,3080949,10000,0,7,0
freertos,pico,310,10000,3090949,10000,0,7,0
freertos,pico,311,10000,3100949,10000,0,7,0
freertos,pico,312,10000,3110949,10000,0,7,0
freertos,pico,313,10000,3120949,10000,0,7,0
freertos,pico,314,10000,3130949,10000,0,7,0
freertos,pico,315,10000,3140949,10000,0,7,0
freertos,pico,316,10000,3150949,10000,0,7,0
freertos,pico,317,10000,3160949,10000,0,7,0
freertos,pico,318,10000,3170949,10000,0,7,0
freertos,pico,319,10000,3180949,10000,0,7,0
freertos,pico,320,10000,3190949,10000,0,7,0
freertos,pico,321,10000,3200949,10000,0,7,0
freertos,pico,322,10000,3210949,10000,0,7,0
freertos,pico,323,10000,3220949,10000,0,7,0
freertos,pico,324,10000,3230949,10000,0,7,0
freertos,pico,325,10000,3240949,10000,0,7,0
freertos,pico,326,10000,3250949,10000,0,7,0
freertos,pico,327,10000,3260949,10000,0,7,0
freertos,pico,328,10000,3270949,10000,0,7,0
freertos,pico,329,10000,3280949,10000,0,7,0
freertos,pico,330,10000,3290949,10000,0,7,0
freertos,pico,331,10000,3300949,10000,0,7,0
freertos,pico,332,10000,3310949,10000,0,7,0
freertos,pico,333,10000,3320949,10000,0,7,0
freertos,pico,334,10000,3330949,10000,0,7,0
freertos,pico,335,10000,3340949,10000,0,7,0
freertos,pico,336,10000,3350949,10000,0,7,0
freertos,pico,337,10000,3360949,10000,0,7,0
freertos,pico,338,10000,3370949,10000,0,7,0
freertos,pico,339,10000,3380949,10000,0,7,0
freertos,pico,340,10000,3390949,10000,0,7,0
freertos,pico,341,10000,3400949,10000,0,7,0
freertos,pico,342,10000,3410949,10000,0,7,0
freertos,pico,343,10000,3420949,10000,0,7,0
freertos,pico,344,10000,3430949,10000,0,7,0
freertos,pico,345,10000,3440949,10000,0,7,0
freertos,pico,346,10000,3450949,10000,0,7,0
freertos,pico,347,10000,3460949,10000,0,7,0
freertos,pico,348,10000,3470949,10000,0,7,0
freertos,pico,349,10000,3480949,10000,0,7,0
freertos,pico,350,10000,3490949,10000,0,7,0
freertos,pico,351,10000,3500949,10000,0,7,0
freertos,pico,352,10000,3510949,10000,0,7,0
freertos,pico,353,10000,3520949,10000,0,7,0
freertos,pico,354,10000,3530949,10000,0,7,0
freertos,pico,355,10000,3540949,10000,0,7,0
freertos,pico,356,10000,3550949,10000,0,7,0
freertos,pico,357,10000,3560949,10000,0,7,0
freertos,pico,358,10000,3570949,10000,0,7,0
freertos,pico,359,10000,3580949,10000,0,7,0
freertos,pico,360,10000,3590949,10000,0,7,0
freertos,pico,361,10000,3600949,10000,0,7,0
freertos,pico,362,10000,3610949,10000,0,7,0
